source	target
IL23A	STAT1
IL23A	SOCS3
IL23A	STAT3
IL23A	PIK3CA
IL23A	IL12B
HNF1A	NLK
HNF1A	MAPK8
HNF1A	HDAC1
HNF1A	CTNNB1
HNF1A	MAPK3
HNF1A	CREBBP
IL1R1	TRAF6
IL1R1	PIK3R1
IL1R1	TICAM2
IL1R1	IL10
IL1R1	MYD88
IL1R1	IRAK4
IL12A	IL12RB1
IL12A	TYK2
IL12A	IL10
IL12A	JAK2
IL12A	IL6ST
IL12A	NFKB2
IL12A	STAT1
IL12A	JAK1
IL12A	LCK
IL12A	NOS2
IL12A	IL13
IL12B	IL12RB1
IL12B	TYK2
IL12B	PIK3R1
IL12B	IL10
IL12B	RELA
IL12B	JAK2
IL12B	NFKB2
IL12B	STAT1
IL12B	JAK1
IL12B	LCK
IL12B	SOCS3
IL12B	NOS2
IL12B	IL13
IL12B	IL12A
IL12B	STAT3
IL12B	PIK3CA
IL12B	IL1B
IL12B	IL12RB2
IL12B	IL4
MT2A	IRF3
MT2A	HLA-DRA
MT2A	HLA-DRB1
MT2A	VCAM1
MT2A	ICAM1
MT2A	IRF1
C4A	SERPINA1
C4A	C4B
ICAM1	IRF3
ICAM1	ITGAM
ICAM1	IL10
ICAM1	TNF
ICAM1	IL6
ICAM1	ITGB2
ICAM1	HLA-DRA
ICAM1	HLA-DRB1
ICAM1	ITGAL
ICAM1	SELE
ICAM1	CXCL8
ICAM1	VCAM1
CBLB	PLCG2
CBLB	VAV1
CBLB	AKT1
CBLB	UBC
CBLB	TRAF6
CBLB	PIK3R1
CBLB	UBA52
CBLB	SOS1
CBLB	PIK3CD
CBLB	SYK
CBLB	CD40
CBLB	CD40LG
CBLB	FCER1A
CBLB	PIK3CG
CBLB	FYN
CBLB	UBE2V1
CBLB	ZBTB16
CBLB	LCK
CBLB	SOCS3
CBLB	UBE2N
CBLB	ITPR1
CBLB	UBB
CBLB	PIK3CB
CBLB	EGFR
CBLB	RPS27A
CBLB	EGF
MTRR	MTHFR
MTRR	MTR
IL1RN	IL10
IL1RN	MYD88
IL1RN	IL1R1
IL1RN	IRAK1
IL1RN	IL1RAP
IL1RN	TOLLIP
IL1RN	STAT3
IL1RN	IL1B
IL1RN	IL1A
IL1RN	IRAK3
APP	CCL4
APP	GNB1
APP	VEGFA
APP	CCL5
APP	PLCB3
APP	CCR3
APP	PIK3R1
APP	CXCL2
APP	SERPINA1
APP	C4A
APP	MAPK9
APP	CXCR4
APP	TF
APP	IL6
APP	SAA1
APP	RELA
APP	POMC
APP	INS
APP	CXCL12
APP	CXCL1
APP	MAPK8
APP	SPP1
APP	EDN1
APP	PLCB4
APP	ANXA1
APP	AGER
APP	CXCR3
APP	NFKB2
APP	S100A12
APP	TGFB2
APP	AGT
APP	MAPK10
APP	CCL20
APP	CASP8
APP	PTGER3
APP	FN1
APP	HMGB1
APP	GNAI1
APP	PLCB1
APP	GNG2
APP	PTGDR2
APP	CCR4
APP	CALCA
