source	target
NFKBIA	MAPK14
NFKBIA	IL23A
NFKBIA	NFKB1
NFKBIA	RELB
SELP	ITGB2
SELP	VCAM1
IL4	TYK2
IL4	PIK3R1
IL4	IL10
IL4	SHC1
IL4	TNF
IL4	IL6
IL4	RELA
IL4	JAK2
IL4	GATA3
IL4	ANXA1
IL4	FOXP3
IL4	JUN
IL4	CD40LG
IL4	FN1
IL4	IL17A
IL4	JAK1
IL4	CXCL8
IL4	IL13
IL4	IL12A
IL4	CCL11
IL4	STAT6
IL4	CSF2
IL4	IL15
IL4	IL18
IL4	IL9
IL4	STAT3
IL4	CBL
IL4	PIK3CA
IL4	IL1B
IL4	IL1A
IL4	IL5
IL2	AKT1
IL2	PIK3R1
IL2	IL10
IL2	SHC1
IL2	TNF
IL2	MAPK9
IL2	IL6
IL2	RELA
IL2	MAPK8
IL2	JAK2
IL2	PIK3CD
IL2	FOXP3
IL2	JUN
IL2	CD3E
IL2	STAT1
IL2	IL17A
IL2	JAK1
IL2	PTPN11
IL2	HSP90AA1
IL2	MAPK11
IL2	SOCS3
IL2	IL13
IL2	MAP2K1
IL2	CSF2
IL2	IL3
IL2	IL15
IL2	STAT3
IL2	CBL
IL2	PIK3CA
IL2	IL7
IL2	IL1B
IL2	MAPK3
IL2	IL5
